2026/1/10,15:53:26,,,
Soft ware,IL STS,Ver.4.7.3,,
TSL,SANTEC,TSL-710,20090003,0003.0051,,,
PowerMeter,SANTEC,MPM-210,20090002,Ver.1.12,,,
 ,Module1,MPM-211,20090004,20090004M211
PowerMonitor,USB-6210 22435060,,,
Start,1545.000000,nm,,
Stop,1555.000000,nm,,
Step,0.000100,nm,,
Speed,1.000000,nm/s,,
Source power,10.000000,dBm,,
Averaging Time,0.000100,s,,
Power meter range,,dBm,,
TSL PM- range,0,,,
Wavelength(nm),IL Module1_CH1,,,
1545.03430000,-104.15669651,,,
1545.03440000,-104.15555709,,,
1545.03450000,-104.15637071,,,
1545.03460000,-104.15830610,,,
1545.03470000,-104.15909049,,,
1545.03480000,-104.15706936,,,
1545.03490000,-104.16067398,,,
1545.03500000,-104.16130863,,,
1545.03510000,-104.16033654,,,
1545.03520000,-104.16025556,,,
1545.03530000,-104.16261675,,,
1545.03540000,-104.15922019,,,
1545.03550000,-104.15982663,,,
1545.03560000,-104.16149258,,,
1545.03570000,-104.16214072,,,
1545.03580000,-104.16194925,,,
1545.03590000,-104.16230107,,,
1545.03600000,-104.16027037,,,
1545.03610000,-104.15985217,,,
1545.03620000,-104.15893093,,,
1545.03630000,-104.16067488,,,
1545.03640000,-104.15944305,,,
1545.03650000,-104.15765166,,,
1545.03660000,-104.15799394,,,
1545.03670000,-104.15792304,,,
1545.03680000,-104.15735015,,,
1545.03690000,-104.15663660,,,
1545.03700000,-104.15762076,,,
1545.03710000,-104.15688564,,,
1545.03720000,-104.15625342,,,
1545.03730000,-104.15773938,,,
1545.03740000,-104.15908031,,,
1545.03750000,-104.15968151,,,
1545.03760000,-104.15711055,,,
1545.03770000,-104.15814031,,,
1545.03780000,-104.15873254,,,
1545.03790000,-104.15853563,,,
1545.03800000,-104.15780305,,,
1545.03810000,-104.15755336,,,
1545.03820000,-104.15644565,,,
1545.03830000,-104.15567279,,,
1545.03840000,-104.15520958,,,
1545.03850000,-104.15477040,,,
1545.03860000,-104.15370073,,,
1545.03870000,-104.15471265,,,
1545.03880000,-104.15618282,,,
1545.03890000,-104.15473828,,,
1545.03900000,-104.15713109,,,
1545.03910000,-104.15869554,,,
1545.03920000,-104.15756473,,,
1545.03930000,-104.15417918,,,
1545.03940000,-104.15383230,,,
1545.03950000,-104.15390033,,,
1545.03960000,-104.15445934,,,
1545.03970000,-104.15498800,,,
1545.03980000,-104.15632468,,,
1545.03990000,-104.15732583,,,
1545.04000000,-104.15725800,,,
1545.04010000,-104.15565622,,,
1545.04020000,-104.15665783,,,
1545.04030000,-104.15841233,,,
1545.04040000,-104.15719683,,,
1545.04050000,-104.15565161,,,
1545.04060000,-104.15592599,,,
1545.04070000,-104.15530387,,,
1545.04080000,-104.15682323,,,
1545.04090000,-104.15888769,,,
1545.04100000,-104.15776900,,,
1545.04110000,-104.15804147,,,
1545.04120000,-104.15909822,,,
1545.04130000,-104.15922924,,,
1545.04140000,-104.15752286,,,
1545.04150000,-104.15663204,,,
1545.04160000,-104.15853532,,,
1545.04170000,-104.16061554,,,
1545.04180000,-104.15881750,,,
1545.04190000,-104.15863832,,,
1545.04200000,-104.15804035,,,
1545.04210000,-104.15964985,,,
1545.04220000,-104.16178634,,,
1545.04230000,-104.16195480,,,
1545.04240000,-104.15947566,,,
1545.04250000,-104.16053830,,,
1545.04260000,-104.15962611,,,
1545.04270000,-104.16136503,,,
1545.04280000,-104.16180697,,,
1545.04290000,-104.16102817,,,
1545.04300000,-104.16116981,,,
1545.04310000,-104.16025259,,,
1545.04320000,-104.15979033,,,
1545.04330000,-104.16108220,,,
1545.04340000,-104.15911477,,,
1545.04350000,-104.15676257,,,
1545.04360000,-104.15398169,,,
1545.04370000,-104.15463765,,,
1545.04380000,-104.15580734,,,
1545.04390000,-104.15706767,,,
1545.04400000,-104.15617920,,,
1545.04410000,-104.15686012,,,
1545.04420000,-104.15566122,,,
1545.04430000,-104.15915350,,,
1545.04440000,-104.16035219,,,
1545.04450000,-104.15943494,,,
1545.04460000,-104.15731285,,,
1545.04470000,-104.15784448,,,
1545.04480000,-104.15732728,,,
1545.04490000,-104.15921699,,,
1545.04500000,-104.16070255,,,
1545.04510000,-104.15844521,,,
1545.04520000,-104.15778809,,,
1545.04530000,-104.15931472,,,
1545.04540000,-104.15930857,,,
1545.04550000,-104.16010443,,,
1545.04560000,-104.16083523,,,
1545.04570000,-104.16148751,,,
1545.04580000,-104.16203877,,,
1545.04590000,-104.15929847,,,
1545.04600000,-104.15896938,,,
1545.04610000,-104.15738832,,,
1545.04620000,-104.16159614,,,
1545.04630000,-104.16175779,,,
1545.04640000,-104.16250973,,,
1545.04650000,-104.16164527,,,
1545.04660000,-104.16053862,,,
1545.04670000,-104.16008317,,,
1545.04680000,-104.16034940,,,
1545.04690000,-104.16084694,,,
1545.04700000,-104.15927526,,,
1545.04710000,-104.15973938,,,
1545.04720000,-104.16069857,,,
1545.04730000,-104.16100298,,,
1545.04740000,-104.16301518,,,
1545.04750000,-104.16208682,,,
1545.04760000,-104.15792107,,,
1545.04770000,-104.15994784,,,
1545.04780000,-104.16043558,,,
1545.04790000,-104.16036966,,,
1545.04800000,-104.15982381,,,
1545.04810000,-104.15848699,,,
1545.04820000,-104.15924947,,,
1545.04830000,-104.16183204,,,
1545.04840000,-104.16186857,,,
1545.04850000,-104.16086005,,,
1545.04860000,-104.16275805,,,
1545.04870000,-104.16223307,,,
1545.04880000,-104.15985783,,,
1545.04890000,-104.16323977,,,
1545.04900000,-104.16183728,,,
1545.04910000,-104.15955870,,,
1545.04920000,-104.15994075,,,
1545.04930000,-104.15847363,,,
1545.04940000,-104.15789238,,,
1545.04950000,-104.16180824,,,
1545.04960000,-104.16166251,,,
1545.04970000,-104.16011771,,,
1545.04980000,-104.15818641,,,
1545.04990000,-104.15686421,,,
1545.05000000,-104.15676682,,,
1545.05010000,-104.15826209,,,
1545.05020000,-104.16017957,,,
1545.05030000,-104.16032677,,,
1545.05040000,-104.16032780,,,
1545.05050000,-104.15898482,,,
1545.05060000,-104.15817200,,,
1545.05070000,-104.15713401,,,
1545.05080000,-104.15727268,,,
1545.05090000,-104.15899558,,,
1545.05100000,-104.15648503,,,
1545.05110000,-104.15988325,,,
1545.05120000,-104.15977285,,,
1545.05130000,-104.15956932,,,
1545.05140000,-104.16010157,,,
1545.05150000,-104.15930729,,,
1545.05160000,-104.15731798,,,
1545.05170000,-104.15820828,,,
1545.05180000,-104.15949408,,,
1545.05190000,-104.16023265,,,
1545.05200000,-104.16132050,,,
1545.05210000,-104.16171532,,,
1545.05220000,-104.15958860,,,
1545.05230000,-104.15657767,,,
1545.05240000,-104.15785605,,,
1545.05250000,-104.16030338,,,
1545.05260000,-104.15749190,,,
1545.05270000,-104.15801349,,,
1545.05280000,-104.15895836,,,
1545.05290000,-104.15943163,,,
1545.05300000,-104.15921510,,,
1545.05310000,-104.16125708,,,
1545.05320000,-104.16178251,,,
1545.05330000,-104.16090225,,,
1545.05340000,-104.16189589,,,
1545.05350000,-104.15945098,,,
1545.05360000,-104.15955108,,,
1545.05370000,-104.16001022,,,
1545.05380000,-104.15921215,,,
1545.05390000,-104.15610304,,,
1545.05400000,-104.15744696,,,
1545.05410000,-104.15627333,,,
1545.05420000,-104.15885624,,,
1545.05430000,-104.15774893,,,
1545.05440000,-104.15631253,,,
1545.05450000,-104.15911314,,,
1545.05460000,-104.15926078,,,
1545.05470000,-104.16009814,,,
1545.05480000,-104.15891278,,,
1545.05490000,-104.15591801,,,
1545.05500000,-104.15376375,,,
1545.05510000,-104.15497691,,,
1545.05520000,-104.15548689,,,
1545.05530000,-104.15596132,,,
1545.05540000,-104.15381222,,,
1545.05550000,-104.15280549,,,
1545.05560000,-104.15264870,,,
1545.05570000,-104.15310439,,,
1545.05580000,-104.15077834,,,
1545.05590000,-104.15141160,,,
1545.05600000,-104.15180971,,,
1545.05610000,-104.15136073,,,
1545.05620000,-104.15026606,,,
1545.05630000,-104.15205339,,,
1545.05640000,-104.15067929,,,
1545.05650000,-104.15349409,,,
1545.05660000,-104.15101697,,,
1545.05670000,-104.15115388,,,
1545.05680000,-104.15112238,,,
1545.05690000,-104.14888313,,,
1545.05700000,-104.15046252,,,
1545.05710000,-104.15300257,,,
1545.05720000,-104.15281893,,,
1545.05730000,-104.15381485,,,
1545.05740000,-104.15259746,,,
1545.05750000,-104.14981302,,,
1545.05760000,-104.14976555,,,
1545.05770000,-104.15036540,,,
1545.05780000,-104.14949447,,,
1545.05790000,-104.15077637,,,
1545.05800000,-104.15182504,,,
1545.05810000,-104.14835222,,,
1545.05820000,-104.14849539,,,
1545.05830000,-104.15145463,,,
1545.05840000,-104.15464638,,,
1545.05850000,-104.15576455,,,
1545.05860000,-104.15352800,,,
1545.05870000,-104.15719344,,,
1545.05880000,-104.15245758,,,
1545.05890000,-104.15651136,,,
1545.05900000,-104.15727176,,,
1545.05910000,-104.15563376,,,
1545.05920000,-104.15484319,,,
1545.05930000,-104.15638276,,,
1545.05940000,-104.15314330,,,
1545.05950000,-104.15282430,,,
1545.05960000,-104.15424463,,,
1545.05970000,-104.15374374,,,
1545.05980000,-104.15190512,,,
1545.05990000,-104.15286226,,,
1545.06000000,-104.15425928,,,
1545.06010000,-104.15045533,,,
1545.06020000,-104.15020862,,,
1545.06030000,-104.15174379,,,
1545.06040000,-104.15214346,,,
1545.06050000,-104.15297324,,,
1545.06060000,-104.15167414,,,
1545.06070000,-104.15203022,,,
1545.06080000,-104.15250818,,,
1545.06090000,-104.14948165,,,
1545.06100000,-104.15281155,,,
1545.06110000,-104.15430944,,,
1545.06120000,-104.15288158,,,
1545.06130000,-104.15164990,,,
1545.06140000,-104.15151857,,,
1545.06150000,-104.15133537,,,
1545.06160000,-104.15190964,,,
1545.06170000,-104.15383066,,,
1545.06180000,-104.15322003,,,
1545.06190000,-104.15092421,,,
1545.06200000,-104.15353132,,,
1545.06210000,-104.15366033,,,
1545.06220000,-104.15394595,,,
1545.06230000,-104.15442732,,,
1545.06240000,-104.15199087,,,
1545.06250000,-104.15404692,,,
1545.06260000,-104.15457900,,,
1545.06270000,-104.15366268,,,
1545.06280000,-104.15236904,,,
1545.06290000,-104.15233945,,,
1545.06300000,-104.15260850,,,
1545.06310000,-104.15501056,,,
1545.06320000,-104.15157976,,,
1545.06330000,-104.15270192,,,
1545.06340000,-104.15693647,,,
1545.06350000,-104.15421355,,,
1545.06360000,-104.15319985,,,
1545.06370000,-104.15381611,,,
1545.06380000,-104.15443756,,,
1545.06390000,-104.15751447,,,
1545.06400000,-104.15806334,,,
1545.06410000,-104.15853231,,,
1545.06420000,-104.15788452,,,
1545.06430000,-104.15721070,,,
1545.06440000,-104.15612185,,,
1545.06450000,-104.15679446,,,
1545.06460000,-104.15840335,,,
1545.06470000,-104.15705018,,,
1545.06480000,-104.16019975,,,
1545.06490000,-104.15767169,,,
1545.06500000,-104.15967883,,,
1545.06510000,-104.15647515,,,
1545.06520000,-104.15620607,,,
1545.06530000,-104.15732164,,,
1545.06540000,-104.15628373,,,
1545.06550000,-104.15857904,,,
1545.06560000,-104.15896703,,,
1545.06570000,-104.15662600,,,
1545.06580000,-104.15592764,,,
1545.06590000,-104.15620929,,,
1545.06600000,-104.15444325,,,
1545.06610000,-104.15714023,,,
1545.06620000,-104.15463223,,,
1545.06630000,-104.15871574,,,
1545.06640000,-104.15710711,,,
1545.06650000,-104.15346090,,,
1545.06660000,-104.15448531,,,
1545.06670000,-104.15293050,,,
1545.06680000,-104.15538479,,,
1545.06690000,-104.15791731,,,
1545.06700000,-104.15414195,,,
1545.06710000,-104.15262449,,,
1545.06720000,-104.15489724,,,
1545.06730000,-104.15470357,,,
1545.06740000,-104.15435071,,,
1545.06750000,-104.15582516,,,
1545.06760000,-104.15557917,,,
1545.06770000,-104.15535701,,,
1545.06780000,-104.15484741,,,
1545.06790000,-104.15505939,,,
1545.06800000,-104.15259968,,,
1545.06810000,-104.15309023,,,
1545.06820000,-104.15410397,,,
1545.06830000,-104.15558699,,,
1545.06840000,-104.15628558,,,
1545.06850000,-104.15274920,,,
1545.06860000,-104.15374306,,,
1545.06870000,-104.15399061,,,
1545.06880000,-104.15473137,,,
1545.06890000,-104.15679856,,,
1545.06900000,-104.15420459,,,
1545.06910000,-104.15625514,,,
1545.06920000,-104.15379270,,,
1545.06930000,-104.15704626,,,
1545.06940000,-104.15614140,,,
1545.06950000,-104.15464931,,,
1545.06960000,-104.15801927,,,
1545.06970000,-104.15475828,,,
1545.06980000,-104.15416771,,,
1545.06990000,-104.15497771,,,
1545.07000000,-104.15405518,,,
1545.07010000,-104.15443881,,,
1545.07020000,-104.15460724,,,
1545.07030000,-104.15639342,,,
1545.07040000,-104.15508507,,,
1545.07050000,-104.15706827,,,
1545.07060000,-104.15399460,,,
1545.07070000,-104.15446294,,,
1545.07080000,-104.15455707,,,
1545.07090000,-104.15299006,,,
1545.07100000,-104.15381755,,,
1545.07110000,-104.15555933,,,
1545.07120000,-104.15182055,,,
1545.07130000,-104.15214830,,,
1545.07140000,-104.15373729,,,
1545.07150000,-104.15223335,,,
1545.07160000,-104.15155495,,,
1545.07170000,-104.15088064,,,
1545.07180000,-104.15136813,,,
1545.07190000,-104.15332750,,,
1545.07200000,-104.14562959,,,
1545.07210000,-104.14586556,,,
1545.07220000,-104.14713142,,,
1545.07230000,-104.14884349,,,
1545.07240000,-104.15019949,,,
1545.07250000,-104.15082458,,,
1545.07260000,-104.15145683,,,
1545.07270000,-104.14959699,,,
1545.07280000,-104.14686005,,,
1545.07290000,-104.14774528,,,
1545.07300000,-104.14978186,,,
1545.07310000,-104.14898549,,,
1545.07320000,-104.15189841,,,
1545.07330000,-104.15187129,,,
1545.07340000,-104.14931214,,,
1545.07350000,-104.14675743,,,
1545.07360000,-104.14763670,,,
1545.07370000,-104.14688389,,,
1545.07380000,-104.14536430,,,
1545.07390000,-104.15038617,,,
